,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
b,0.9006769545961758,0.7596259390408858,0.45918114994911563,0.7488955396044478,0.9844929851928717,0.9996230420066715,-0.1977097248331843,0.749154941177775,0.5948294578449904,0.8043087202618873,1.0,0.804308734448886,0.9634543110334589,0.5476834456913354,0.813784669106051,0.26632055604290406,0.6015072380063755,0.8548242698105598,0.9816902031986284,0.9714822562051754,0.7594303882567878
t,0.7761310507108696,0.7048759341512866,0.35465437229162455,0.7335050554816959,0.7279090499551906,0.8044541002663216,-0.07099656667066678,0.5764638725454797,0.21394324286931687,0.9999999999997558,0.804308734448886,1.0,0.8287636869183297,0.3703140907554229,0.6705321991193979,0.16106018948702827,0.4363094759517226,0.5632161831119893,0.7510749405156885,0.6798919033307422,0.6863376289680033
lOCode,0.9222654789043742,0.7989035658515334,0.46297197087816416,0.7888152342980231,0.9427607820928939,0.9638234163448808,-0.20993403239563188,0.7547613475684938,0.5462606754766874,0.8287636911273979,0.9634543110334589,0.8287636869183297,1.0,0.5394862672661607,0.8198706981448941,0.25547524510283554,0.6477378005217553,0.8403645366769612,0.9410726123346047,0.9293489594021555,0.7931644884923135
lOComment,0.59547005967354,0.38769842919039266,0.2894214557618952,0.36064412441113397,0.5697913885367365,0.5478934286602659,-0.17091426003509433,0.5103497740861792,0.38000334476019154,0.37031409169668356,0.5476834456913354,0.3703140907554229,0.5394862672661607,1.0,0.6290133532160348,0.2568680415022559,0.3902154730788374,0.4859696643564921,0.5741843950253988,0.5525029335451703,0.40287871403858966
lOBlank,0.8128447666233338,0.5682730892981906,0.33137235890866273,0.5951417493910179,0.8073248523430732,0.8140989251601423,-0.19659796869464127,0.6376103198632082,0.5521289006577681,0.6705322039280837,0.813784669106051,0.6705321991193979,0.8198706981448941,0.6290133532160348,1.0,0.25270457380854794,0.5119759696683078,0.711666747550864,0.8053294348586648,0.7960658424047368,0.5772795991873538
locCodeAndComment,0.271444922266408,0.21590099185162667,0.18532762732510588,0.22023163224180747,0.28034873381494674,0.26611676264954376,-0.10022669999099576,0.2499468297935807,0.20121200282816,0.16106018075759507,0.26632055604290406,0.16106018948702827,0.25547524510283554,0.2568680415022559,0.25270457380854794,1.0,0.20729855894506188,0.24665325776136465,0.27963888070737747,0.27670321169820367,0.2280561420499993
uniq_Op,0.5217307937696528,0.5934226420912875,0.2739264719028921,0.41128747200543675,0.6130190841921296,0.6021844240937178,-0.27931540176817954,0.7332893909538889,0.37370022114902546,0.436309486392624,0.6015072380063755,0.4363094759517226,0.6477378005217553,0.3902154730788374,0.5119759696683078,0.20729855894506188,1.0,0.7492221746531512,0.6172023823618198,0.5958070024297696,0.5194095550260258
uniq_Opnd,0.7584345615006971,0.6621881764734691,0.3420982930165467,0.5768064326296928,0.8398431564424202,0.8553200283157091,-0.2030986179975303,0.6038924921786405,0.7323098467563465,0.5632161898248216,0.8548242698105598,0.5632161831119893,0.8403645366769612,0.4859696643564921,0.711666747550864,0.24665325776136465,0.7492221746531512,1.0,0.8170308141130062,0.8598075423028746,0.6220882439046865
total_Op,0.8771727376490112,0.7490045261856806,0.4894062850233541,0.7320694861791754,0.995373372740939,0.9821075082685281,-0.23677357535552399,0.8194140265970885,0.6084889938613107,0.7510749467197525,0.9816902031986284,0.7510749405156885,0.9410726123346047,0.5741843950253988,0.8053294348586648,0.27963888070737747,0.6172023823618198,0.8170308141130062,1.0,0.9709455424724692,0.7588970490418214
total_Opnd,0.8624334829306256,0.6988614154162017,0.44045095879636886,0.6772554385585653,0.9893138956380706,0.9719184725536496,-0.24065688937060836,0.7769750961709988,0.6819577801665732,0.679891909466089,0.9714822562051754,0.6798919033307422,0.9293489594021555,0.5525029335451703,0.7960658424047368,0.27670321169820367,0.5958070024297696,0.8598075423028746,0.9709455424724692,1.0,0.7100560157533198
branchCount,0.8298639190022691,0.9816095029083789,0.8004564300424675,0.8911055134875323,0.7443633176144613,0.7597606520032861,-0.2847071681204555,0.6550265776882662,0.2994015858494749,0.6863376351838265,0.7594303882567878,0.6863376289680033,0.7931644884923135,0.40287871403858966,0.5772795991873538,0.2280561420499993,0.5194095550260258,0.6220882439046865,0.7588970490418214,0.7100560157533198,1.0
