loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,group_id,total_rows,defective_count,non_defective_count,unique_labels,is_conflict,majority_label,majority_count,minority_count,ambiguity_rate_percent,disagreement_rate_percent
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0,4.0,4.0,6.0,4.0,1.0,9,11,5,6,2,True,False,6,5,45.45,45.45
5.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,1,0,5.0,2.0,5.0,2.0,1.0,14,6,2,4,2,True,False,4,2,33.33,33.33
20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,62,6,4,2,2,True,True,4,2,33.33,33.33
5.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,3,0,0,0,5.0,4.0,7.0,4.0,1.0,18,3,1,2,2,True,False,2,1,33.33,33.33
6.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,3,0,1,0,5.0,4.0,6.0,4.0,1.0,22,3,1,2,2,True,False,2,1,33.33,33.33
6.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,3,0,1,0,5.0,5.0,8.0,6.0,1.0,24,3,1,2,2,True,False,2,1,33.33,33.33
6.0,1.0,1.0,1.0,14.0,46.51,0.5,2.0,23.25,93.01,0.02,5.17,4,0,0,0,4.0,6.0,8.0,6.0,1.0,25,3,1,2,2,True,False,2,1,33.33,33.33
7.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,1,0,0,4.0,2.0,4.0,2.0,1.0,27,3,1,2,2,True,False,2,1,33.33,33.33
7.0,2.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,0,7.0,3.0,8.0,4.0,3.0,29,3,1,2,2,True,False,2,1,33.33,33.33
8.0,1.0,1.0,1.0,31.0,118.03,0.17,6.0,19.67,708.17,0.04,39.34,5,0,0,1,7.0,7.0,19.0,12.0,1.0,35,3,1,2,2,True,False,2,1,33.33,33.33
8.0,2.0,1.0,1.0,26.0,104.0,0.12,8.33,12.48,866.67,0.03,48.15,4,0,1,0,10.0,6.0,16.0,10.0,3.0,36,3,1,2,2,True,False,2,1,33.33,33.33
12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,0,10.0,6.0,12.0,10.0,5.0,43,3,1,2,2,True,False,2,1,33.33,33.33
14.0,3.0,1.0,3.0,33.0,125.64,0.12,8.67,14.5,1088.9,0.04,60.49,12,0,0,0,8.0,6.0,20.0,13.0,5.0,47,3,1,2,2,True,False,2,1,33.33,33.33
15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,50,3,1,2,2,True,False,2,1,33.33,33.33
18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,53,3,1,2,2,True,False,2,1,33.33,33.33
18.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,57,3,1,2,2,True,False,2,1,33.33,33.33
19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,59,3,1,2,2,True,False,2,1,33.33,33.33
19.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,61,3,1,2,2,True,False,2,1,33.33,33.33
20.0,2.0,1.0,2.0,59.0,292.3,0.14,7.26,40.24,2123.0,0.1,117.94,15,0,1,0,12.0,19.0,36.0,23.0,3.0,64,3,1,2,2,True,False,2,1,33.33,33.33
20.0,3.0,1.0,3.0,41.0,182.84,0.13,7.8,23.44,1426.13,0.06,79.23,14,0,4,0,12.0,10.0,28.0,13.0,5.0,66,3,1,2,2,True,False,2,1,33.33,33.33
22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,68,3,1,2,2,True,False,2,1,33.33,33.33
24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,71,3,1,2,2,True,False,2,1,33.33,33.33
25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,74,3,1,2,2,True,False,2,1,33.33,33.33
26.0,4.0,3.0,2.0,50.0,235.02,0.1,10.0,23.5,2350.22,0.08,130.57,16,0,5,3,13.0,13.0,30.0,20.0,7.0,76,3,1,2,2,True,False,2,1,33.33,33.33
28.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,79,3,2,1,2,True,True,2,1,33.33,33.33
34.0,7.0,5.0,4.0,119.0,641.69,0.06,17.68,36.29,11345.0,0.21,630.28,26,1,5,0,17.0,25.0,67.0,52.0,13.0,81,3,1,2,2,True,False,2,1,33.33,33.33
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5.0,2.0,5.0,2.0,1.0,5,24,6,18,2,True,False,18,6,25.0,25.0
18.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,56,12,3,9,2,True,False,9,3,25.0,25.0
4.0,1.0,1.0,1.0,11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,2,0,0,0,7.0,3.0,8.0,3.0,1.0,10,4,1,3,2,True,False,3,1,25.0,25.0
5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,15,4,1,3,2,True,False,3,1,25.0,25.0
7.0,2.0,1.0,2.0,12.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,5,0,0,0,6.0,4.0,7.0,5.0,3.0,30,4,3,1,2,True,True,3,1,25.0,25.0
8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,37,4,1,3,2,True,False,3,1,25.0,25.0
12.0,2.0,1.0,2.0,18.0,64.53,0.25,4.0,16.12,258.12,0.02,14.34,9,0,1,0,6.0,6.0,10.0,8.0,3.0,42,4,1,3,2,True,False,3,1,25.0,25.0
16.0,2.0,1.0,2.0,34.0,144.43,0.13,7.56,19.1,1092.25,0.05,60.68,10,0,4,0,11.0,8.0,23.0,11.0,3.0,52,4,3,1,2,True,True,3,1,25.0,25.0
22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,67,4,1,3,2,True,False,3,1,25.0,25.0
23.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,70,4,1,3,2,True,False,3,1,25.0,25.0
28.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,78,4,1,3,2,True,False,3,1,25.0,25.0
13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,44,15,3,12,2,True,False,12,3,20.0,20.0
4.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,2,0,0,0,6.0,1.0,6.0,1.0,1.0,4,5,1,4,2,True,False,4,1,20.0,20.0
7.0,1.0,1.0,1.0,16.0,55.35,0.34,2.92,18.98,161.44,0.02,8.97,4,0,1,0,5.0,6.0,9.0,7.0,1.0,28,5,1,4,2,True,False,4,1,20.0,20.0
8.0,1.0,1.0,1.0,19.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,0,1,0,5.0,6.0,11.0,8.0,1.0,34,5,1,4,2,True,False,4,1,20.0,20.0
18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,55,5,1,4,2,True,False,4,1,20.0,20.0
7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,26,22,4,18,2,True,False,18,4,18.18,18.18
5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,1,0,3.0,2.0,3.0,2.0,1.0,12,7,1,6,2,True,False,6,1,14.29,14.29
42.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,85,7,1,6,2,True,False,6,1,14.29,14.29
5.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0,3.0,1.0,3.0,1.0,1.0,11,17,2,15,2,True,False,15,2,11.76,11.76
8.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,0,7.0,5.0,9.0,6.0,1.0,33,9,1,8,2,True,False,8,1,11.11,11.11
12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,40,9,1,8,2,True,False,8,1,11.11,11.11
14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,45,9,1,8,2,True,False,8,1,11.11,11.11
19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,60,9,1,8,2,True,False,8,1,11.11,11.11
5.0,1.0,1.0,1.0,7.0,16.25,0.67,1.5,10.84,24.38,0.01,1.35,3,0,0,0,3.0,2.0,5.0,2.0,1.0,13,11,1,10,2,True,False,10,1,9.09,9.09
5.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,3,0,0,0,6.0,5.0,8.0,5.0,1.0,19,11,1,10,2,True,False,10,1,9.09,9.09
12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,41,11,1,10,2,True,False,10,1,9.09,9.09
16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,51,12,1,11,2,True,False,11,1,8.33,8.33
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,6,134,11,123,2,True,False,123,11,8.21,8.21
8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,31,13,1,12,2,True,False,12,1,7.69,7.69
14.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,46,13,1,12,2,True,False,12,1,7.69,7.69
5.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3,0,0,0,3.0,4.0,5.0,4.0,1.0,16,16,1,15,2,True,False,15,1,6.25,6.25
4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0,5.0,3.0,5.0,3.0,1.0,7,25,1,24,2,True,False,24,1,4.0,4.0
4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0,5.0,3.0,6.0,3.0,1.0,8,35,1,34,2,True,False,34,1,2.86,2.86
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,3,43,1,42,2,True,False,42,1,2.33,2.33
5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5.0,6.0,8.0,7.0,1.0,20,61,1,60,2,True,False,60,1,1.64,1.64
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,2,198,3,195,2,True,False,195,3,1.52,1.52
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,1,185,1,184,2,True,False,184,1,0.54,0.54
