loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,total_rows,unique_labels,defective_count,non_defective_count
12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,0,10.0,6.0,12.0,10.0,5.0,3,2,1,2
13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,15,2,3,12
14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,9,2,1,8
14.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,13,2,1,12
14.0,3.0,1.0,3.0,33.0,125.64,0.12,8.67,14.5,1088.9,0.04,60.49,12,0,0,0,8.0,6.0,20.0,13.0,5.0,3,2,1,2
14.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,2,2,1,1
15.0,2.0,1.0,2.0,35.0,151.27,0.19,5.33,28.36,806.76,0.05,44.82,13,0,2,0,8.0,12.0,19.0,16.0,3.0,4,2,2,2
15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,3,2,1,2
16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,12,2,1,11
16.0,2.0,1.0,2.0,34.0,144.43,0.13,7.56,19.1,1092.25,0.05,60.68,10,0,4,0,11.0,8.0,23.0,11.0,3.0,4,2,3,1
18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,2,1,2
18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14,0,2,0,6.0,10.0,7.0,11.0,1.0,4,2,2,2
18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,5,2,1,4
18.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,12,2,3,9
18.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,3,2,1,2
18.0,4.0,1.0,1.0,47.0,212.61,0.12,8.25,25.77,1754.01,0.07,97.45,12,1,3,0,11.0,12.0,29.0,18.0,7.0,2,2,1,1
19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,2,1,2
19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,9,2,1,8
19.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,3,2,1,2
20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6,2,4,2
20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2,2,1,1
20.0,2.0,1.0,2.0,59.0,292.3,0.14,7.26,40.24,2123.0,0.1,117.94,15,0,1,0,12.0,19.0,36.0,23.0,3.0,3,2,1,2
20.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,2,2,1,1
20.0,3.0,1.0,3.0,41.0,182.84,0.13,7.8,23.44,1426.13,0.06,79.23,14,0,4,0,12.0,10.0,28.0,13.0,5.0,3,2,1,2
22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4,2,1,3
22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3,2,1,2
23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2,2,1,1
23.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,4,2,1,3
24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3,2,1,2
24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,4,2,2,2
24.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,2,2,1,1
25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3,2,1,2
26.0,3.0,1.0,2.0,73.0,350.94,0.06,16.67,21.06,5848.95,0.12,324.94,17,4,3,0,16.0,12.0,48.0,25.0,5.0,2,2,1,1
26.0,4.0,3.0,2.0,50.0,235.02,0.1,10.0,23.5,2350.22,0.08,130.57,16,0,5,3,13.0,13.0,30.0,20.0,7.0,3,2,1,2
26.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,2,2,1,1
28.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,4,2,1,3
28.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,3,2,2,1
33.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,2,2,1,1
34.0,7.0,5.0,4.0,119.0,641.69,0.06,17.68,36.29,11345.0,0.21,630.28,26,1,5,0,17.0,25.0,67.0,52.0,13.0,3,2,1,2
35.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,2,2,1,1
39.0,5.0,1.0,5.0,83.0,425.73,0.12,8.48,50.21,3609.84,0.14,200.55,28,2,5,2,11.0,24.0,46.0,37.0,9.0,2,2,1,1
40.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,2,2,1,1
42.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,7,2,1,6
42.0,15.0,10.0,7.0,194.0,995.08,0.02,50.25,19.8,50002.82,0.33,2777.93,29,6,2,3,21.0,14.0,127.0,67.0,29.0,2,2,1,1
78.0,15.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,2,2,1,1
80.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,2,2,1,1
